Station,2013,2014,2015,2016,2017
Agimir,1684.6,NA,1005.9,1517.3,1061.6
Aisealukhark,1626.2,1502.4,2561.1,2492.8,NA
Ambapur,1738.8,1454.6,1176.7,1233.5,1642.8
Amlekhganj,1884.4,1642,1461.6,505.8,1808.7
Anarmani Birta,3135.7,1716.4,1846.7,3448,NA
Anp Chour,NA,NA,NA,1588.1,1628.4
Archale,3142.9,1511.7,1483.7,1923.4,1810.5
Asara Ghat,NA,1189.7,1119.8,899.7,1056.5
Atraulitar,2712.2,1862.9,1211.1,1635.5,NA
Badhichaur,2248.3,1700.4,1265.8,1398.3,1433.6
Baghara,3455.2,NA,2855.9,3307.5,2706.4
Baglung,NA,NA,2062.4,2137.3,2011.6
Bahrabise,2517.8,2627.5,NA,2613.2,2880
Bahun Tilpung,1518.1,NA,NA,1606.2,1243
Bahunipati,1768.7,1462.3,1898.3,1600.9,1471.5
Baijapur,2261.1,1061.9,710.5,786.4,574
Baitadi,1567,943.5,1068.9,1185.6,1445.1
Bajura (Martadi),2341.6,2022.5,1724.1,2023.2,2061
Baldyanggadi,1625.2,NA,1309.2,2071.9,1819
Bale Budha (Tallo Dhungeshwor),NA,1550.5,948.4,889.6,1118.6
Baliya,2577.3,1910.4,1886.5,1855.7,2213
Bandipur,1598.3,1483,1159.9,1378,NA
Banganga,2416.4,1941.5,1525,1692.9,1026.8
Bangga Camp,NA,2327,2832.3,1446.8,1508.3
Bardaghat,1859.6,NA,1360.5,1776.8,2763.8
Bargadaha,2114.6,1791.9,1750.3,1865.8,1972.8
Barmajhiya,1495.5,1095.6,920.3,1481.5,1709.9
Barpak,4536.7,3464.6,2649.7,4673.2,2907.3
Basti,NA,NA,NA,NA,995
Bau Khola (Bam),322.9,753.5,484.6,695.4,740.6
Bega,1942.5,1990.2,1735.6,2447.1,1876.3
Begnas,2997.7,3331,3008.3,3458.3,3065.2
Belauri Santipur,1502.9,1266.5,1642.7,1990.6,1489.8
Belmar,1189.7,1637.1,942.9,1021.4,972.4
Beluwa (Girwari),2651.6,1783.3,1558.1,3007.1,2400
Beluwa(Manahari),1823.8,1306.1,1462,1581.1,NA
Beni Bazar,1491.5,NA,1506,1755.3,NA
Bhadaure Deurali,3886.2,4097.1,4456.3,4362.7,NA
Bhagawanpur,1048.9,1226.9,1532.4,817.8,1033.2
Bhagwanpur,1841,NA,1191,1639.2,NA
Bhairahawa (Agric),1965.7,1342,1041.1,1579.7,1891.4
Bhairahawa Airport,NA,1551.3,1335.2,1604.8,1717.2
Bhajani,1786.5,1387.9,1340.7,1568,1426.1
Bhaktapur,NA,1060.8,1125.1,1286,1089.4
Bharatpur,4117.3,3668.4,3830.3,4124.1,2040.7
Bharse,2597.1,2552.4,1783.5,2694.5,NA
Bhimgithhe,2753.3,2463.9,1756.1,1917.5,2659.7
Bhorletar,NA,NA,1656.9,NA,2257.7
Bhujung,NA,NA,5138.7,3972.4,NA
Bichawa,1668.1,1012.7,1243.5,1586.5,1416.8
Bijayapur (Raskot),1555.9,1225.9,1355,1197.3,1786.9
Bijuwar Tar,1581.4,987.6,962.9,1776.5,1060.7
Binayak,1047.6,NA,NA,986,1241.1
Biratnagar Airport,1471.4,1547.5,940.1,1826.5,1038.2
Birganj,NA,NA,NA,NA,1227.4
Biunthari,NA,NA,279.4,423.2,726.5
Bobang,2147.9,2405.7,1780.5,2179.9,2619.8
Butwal,2034.8,2726.1,NA,3368.1,3525.5
Chainpur (East),1568.6,1291.9,1293.4,1391.7,1142.5
Chainpur Bajhang Aws Climate,NA,915.6,947.8,1011.9,NA
Chandra Gadhi,2937.5,970,1209.4,1841.4,NA
Changu Narayan,1822.1,1637.9,1180.7,1706.4,1336.3
Chapa Gaun,1391.5,1074.5,771.2,1149.9,NA
Chapkot,2710.6,1783.8,1104.9,1626.2,NA
Charikot,1820.1,2009,NA,NA,2684.4
Chatara,2056,1644.5,2190,2894,1564.7
Chaumala,2618.8,2025.2,2064.2,1916.9,2313.8
Chaurikhark,2039.6,2312,1475.5,2134.3,1515
Chaurjhari Tar,1420.5,899.5,988.3,1256.2,1209.9
Chautara,2173.9,NA,NA,2003.6,1572
Chautha,1483.8,1610.7,1041.7,1256.7,1228.3
Chepuwa,2736.1,2769.3,2527.3,2972.9,2758.3
Chhekampar,NA,1137.3,NA,750.5,NA
Chhoser,270.3,244.4,255.1,251.8,269.4
Chisapani (Syangja),NA,1319.4,933.7,1292.3,NA
Chisapani Bazar,1832.2,1391.6,1429.3,1710.7,1367.5
Chisapani Gadhi,1890.2,1614.9,1434,1646.6,NA
Chisapani(Karnali),3138.7,3390.5,2302.5,2526.2,NA
Chiuri,1156.8,805.8,478.8,1680,1133.6
Chumchet,NA,NA,574.3,839.8,617.5
Chundi Rangha,1631.2,1979.2,1437.1,2163.8,1557
Dadeldhura,1548.1,1512.5,1264,1300.5,1374.1
Dadimadi,697,1345.1,1389.8,1590.1,1774.8
Dailekh,1808.9,1404.5,1493.2,1462.5,1673.8
Dainsili,2319.1,1293.6,1927.4,2575.7,2244
Damak,2433.1,NA,1833.1,NA,NA
Damauli,1940,1266.9,NA,1172.1,NA
Dandagaun,1786.9,1451.7,1292.1,1271.6,1234.9
Dandaswara,3144.4,3338.8,3313,3163.6,2698
Darbang,2500.7,2840.1,2182,3049,2379.8
Darchula,1858.3,1839.7,1964.9,3036.5,2463.3
Darchula New,2009.4,NA,1727.5,2251.3,2485.7
Darma,1865.6,1488.7,NA,NA,1026.2
Daugha,1338.7,903.5,711.7,958.3,1235.8
Dedhgauntar,NA,1518.4,1190.7,NA,2204.1
Deurali Nawal,1962.5,NA,2377.8,2750.2,NA
Dhakeri,1588.9,1610.7,1467,1511.3,1692
Dhangadhi(Attariya),2449.6,1533.2,1823.3,1592.9,1607.4
Dhankuta,982,567.6,799.2,1068.2,936.5
Dhap,6512.2,3268.4,3850.1,6737.4,NA
Dharan Bazar,2212,1684.9,1802.7,2362.2,2215.7
Dharmpaniya,1845.1,1767.4,1447.4,1735,1957.6
Dhaulatiya (Dallekhdhar),2786.6,2703.1,1929.8,2636.1,2749.2
Dhulikhel,1009.7,1264.3,1219.3,1258.3,NA
Dhunche,NA,NA,1491,NA,NA
Dhunibesi,1731.7,1358.6,981,1135.6,1179.3
Diktel,NA,NA,1509.1,1868.8,1509.8
Dingla,2018.3,1646.3,2176.8,2357.4,1557.8
Dipal Gaun,1117.8,803.7,869.4,877.9,911.3
Dipayal (Doti),1085.5,911,888.2,1124.4,957.3
Dodhara,2169.7,2278.3,1866.4,1842.8,1798.4
Dolal Ghat,1199.6,1082.1,878,1009.3,1179.1
Dovan,1703.8,1234.1,2359.7,1711.8,NA
Dumkauli,2703,2320.5,2109.2,2523.5,1961.3
Dumkibas,2384.1,2075,1523.2,2307.7,3051.5
Dumrakot,1166.2,1008.9,936,805.2,751.9
Dunai,435.2,428,NA,488.4,556.9
Duwachaur,2546.4,1707.8,1724.1,NA,NA
Faleni,NA,3319.9,2641.8,4073.7,3247.6
Gadhawa,837.5,1048.8,943.8,1072.3,1496.9
Gaida (Kankai),2678.9,2075,2079.9,2529,NA
Gaighat,764.5,834.4,1009.7,804.2,1575.1
Gaira,1421.9,1977.2,1410.9,1760.2,1962.8
Gajuri,1280.7,NA,1141.1,1693.3,NA
Galkot,2415,3062.8,3691.8,3854.7,2800.1
Gam Shree Nagar,1394,820.6,726,979.8,778.2
Gamtha,NA,1412.9,1239.7,1661.7,1103.6
Gandakot,3265.6,1777.5,1144.2,1605.7,1845.9
Gangadi,1602.5,1289.1,946.1,1198.4,1661.2
Garman Darbar,3132.8,NA,2276,2968.5,1628.2
Gaur,751.4,706.2,NA,NA,NA
Gausala,3156.2,2098.9,NA,3102.2,2370.5
Gela,1306.5,1136.6,918.4,1047.9,898.8
Ghale Kharka,3353.8,4115,3602.4,4475.9,4105.3
Ghandruk,3990.2,3877.7,3367.5,5101.6,3822.8
Gharedhunga,3409.7,3104.9,2367,2870.6,NA
Ghatya Khola,NA,NA,751.3,707.9,731.6
Ghorai (Dang),1947.1,1714.8,1214.3,1585.5,1607.3
Ghorepani,3076,2430.3,2079.4,2352.1,2575.3
Gilung,3025.7,2451.3,2622,3477.2,2862.9
Godavari,1967.2,1410.9,1218.8,1474.3,1334.9
Godavari(West),3017.8,2143.3,2674.3,2368.9,NA
Goga,1295,1240.4,970.8,1090.8,977.5
Goganepani,3206,2911,2499.8,2755.8,2708.4
Gokuleshwar,2311.5,2006.5,1405.6,1802.7,1724.4
Gopghat (Golaghat),1635.1,1716.5,1624.5,1439.8,1912.5
Gorkha,1983.4,1663.3,1150.5,1524.6,1527.4
Gothi,707.7,518.1,NA,NA,1366.1
Gulariya,NA,NA,1337,1326.5,1047.3
Gumthang,2012.9,1878.6,1889.6,2927.8,NA
Gurja Khani,NA,NA,NA,NA,NA
Guthi Chaur,973.4,1020.6,806.5,1139.3,1399.5
Gwati,2006.2,3013,2283.1,2676,2415.1
Hanmannagar,2189.7,1936.6,1954.3,2205.9,1573.6
Hanspur,3353,NA,1347.9,2155.6,1549.4
Haraincha,2170.3,NA,NA,NA,NA
Hardinath,NA,1295.5,807.8,1436.3,1205
