# Метеостанция Сан-Франциско (аэропорт), США, WMO_ID=72494, выборка с 01.01.2014 по 01.01.2015, все дни
# Кодировка: ANSI
# Информация предоставлена сайтом "Расписание Погоды", rp5.ru
# Пожалуйста, при использовании данных, любезно указывайте названный сайт.
# Обозначения метеопараметров см. по адресу http://rp5.ru/archive.php?wmo_id=72494&lang=ru
#
"Местное время в Сан-Франциско (аэропорт)";"T";"Po";"P";"Pa";"U";"DD";"Ff";"ff10";"ff3";"N";"WW";"W1";"W2";"Tn";"Tx";"Cl";"Nh";"H";"Cm";"Ch";"VV";"Td";"RRR";"tR";"E";"Tg";"E'";"sss"
"31.12.2014 22:00";"7.2";"761.6";"764.1";"";"71";"Ветер, дующий с юго-юго-востока";"2";"";"";"Облаков нет.";" ";"";"";"7.2";"14.4";"";"";"";"";"";"16.0";"2.2";"";"";"";"";"";"";
"31.12.2014 16:00";"13.3";"762.1";"764.5";"";"27";"Ветер, дующий с юга";"2";"";"";"50%.";" ";"";"";"7.8";"13.9";"";"";"2500 или более, или облаков нет.";"";"";"16.0";"-5.6";"";"";"";"";"";"";
"31.12.2014 10:00";"9.4";"766.2";"768.4";"";"41";"Ветер, дующий с востока";"4";"";"";"20–30%.";" ";"";"";"7.8";"10.0";"";"";"2500 или более, или облаков нет.";"";"";"16.0";"-3.3";"";"";"";"";"";"";
"31.12.2014 04:00";"8.9";"766.0";"768.4";"";"41";"Ветер, дующий с севера";"11";"";"";"Облаков нет.";" ";"";"";"8.9";"12.8";"";"";"";"";"";"16.0";"-3.9";"";"";"";"";"";"";
"30.12.2014 22:00";"10.0";"766.0";"768.2";"";"43";"Ветер, дующий с севера";"13";"20";"";"Облаков нет.";" ";"";"";"8.3";"12.2";"";"";"";"";"";"16.0";"-2.2";"";"";"";"";"";"";
"30.12.2014 16:00";"12.2";"763.4";"765.7";"";"38";"Ветер, дующий с севера";"16";"19";"";"Облаков нет.";" ";"";"";"8.3";"12.8";"";"";"";"";"";"16.0";"-1.7";"";"";"";"";"";"";
"30.12.2014 10:00";"9.4";"763.6";"766.0";"";"52";"Ветер, дующий с севера";"11";"14";"";"20–30%.";" ";"";"";"8.9";"11.1";"";"";"1500-2000";"";"";"16.0";"0.0";"";"";"";"";"";"";
"30.12.2014 04:00";"9.4";"762.7";"765.0";"";"74";"Ветер, дующий с севера";"6";"";"";"20–30%.";" ";"";"";"8.3";"12.8";"";"";"1500-2000";"";"";"16.0";"5.0";"";"";"";"";"";"";
"29.12.2014 22:00";"10.6";"762.9";"765.3";"";"61";"Ветер, дующий с северо-запада";"4";"";"";"Облаков нет.";" ";"";"";"8.9";"12.8";"";"";"";"";"";"16.0";"3.3";"";"";"";"";"";"";
"29.12.2014 16:00";"12.2";"762.9";"765.2";"";"64";"Ветер, дующий с северо-запада";"6";"";"";"50%.";" ";"";"";"8.9";"12.8";"";"";"600-1000";"";"";"16.0";"5.6";"";"";"";"";"";"";
"29.12.2014 10:00";"11.1";"765.4";"767.7";"";"86";"Ветер, дующий с севера";"4";"";"";"20–30%.";" ";"";"";"6.7";"12.8";"";"";"200-300";"";"";"16.0";"8.9";"";"";"";"";"";"";
"29.12.2014 04:00";"9.4";"765.2";"767.5";"";"86";"Ветер, дующий с западо-юго-запада";"2";"";"";"50%.";" ";"";"";"8.9";"13.9";"";"";"300-600";"";"";"16.0";"7.2";"";"";"";"";"";"";
"28.12.2014 22:00";"12.2";"766.0";"768.3";"";"90";"Ветер, дующий с запада";"3";"";"";"50%.";" ";"";"";"7.8";"13.9";"";"";"300-600";"";"";"16.0";"10.6";"";"";"";"";"";"";
"28.12.2014 16:00";"13.9";"766.0";"768.3";"";"69";"Ветер, дующий с запада";"4";"";"";"20–30%.";" ";"";"";"7.8";"13.9";"";"";"300-600";"";"";"16.0";"8.3";"";"";"";"";"";"";
"28.12.2014 10:00";"10.0";"768.5";"770.8";"";"77";"Штиль, безветрие";"0";"";"";"20–30%.";" ";"";"";"6.1";"10.0";"";"";"2500 или более, или облаков нет.";"";"";"16.0";"6.1";"";"";"";"";"";"";
"28.12.2014 04:00";"8.3";"768.0";"770.4";"";"83";"Ветер, дующий с юга";"2";"";"";"70 – 80%.";" ";"";"";"7.8";"13.3";"";"";"2500 или более, или облаков нет.";"";"";"16.0";"5.6";"";"";"";"";"";"";
"27.12.2014 22:00";"9.4";"769.0";"771.4";"";"77";"Ветер, дующий с юго-востока";"2";"";"";"50%.";" ";"";"";"5.6";"13.3";"";"";"2500 или более, или облаков нет.";"";"";"16.0";"5.6";"";"";"";"";"";"";
"27.12.2014 16:00";"12.8";"768.0";"770.5";"";"49";"Штиль, безветрие";"0";"";"";"70 – 80%.";" ";"";"";"5.6";"12.8";"";"";"2500 или более, или облаков нет.";"";"";"16.0";"2.2";"";"";"";"";"";"";
"27.12.2014 10:00";"10.6";"769.3";"771.7";"";"64";"Ветер, дующий с востока";"2";"";"";"50%.";" ";"";"";"6.1";"10.6";"";"";"2500 или более, или облаков нет.";"";"";"16.0";"3.9";"";"";"";"";"";"";
"27.12.2014 04:00";"10.6";"766.7";"769.1";"";"56";"Ветер, дующий с востоко-северо-востока";"6";"";"";"Облаков нет.";" ";"";"";"5.6";"15.0";"";"";"";"";"";"16.0";"2.2";"";"";"";"";"";"";
"26.12.2014 22:00";"8.3";"766.0";"768.2";"";"63";"Штиль, безветрие";"0";"";"";"Облаков нет.";" ";"";"";"8.3";"13.9";"";"";"";"";"";"16.0";"1.7";"";"";"";"";"";"";
"26.12.2014 16:00";"13.9";"764.2";"766.5";"";"49";"Ветер, дующий с востока";"2";"";"";"Облаков нет.";" ";"";"";"11.1";"15.0";"";"";"";"";"";"16.0";"3.3";"";"";"";"";"";"";
"26.12.2014 10:00";"12.2";"765.4";"767.7";"";"49";"Ветер, дующий с севера";"7";"";"";"Облаков нет.";" ";"";"";"11.7";"12.2";"";"";"";"";"";"16.0";"1.7";"";"";"";"";"";"";
"26.12.2014 04:00";"12.2";"762.9";"765.4";"";"51";"Ветер, дующий с севера";"10";"";"";"Облаков нет.";" ";"";"";"11.1";"14.4";"";"";"";"";"";"16.0";"2.2";"";"";"";"";"";"";
"25.12.2014 22:00";"11.7";"762.7";"765.0";"";"57";"Ветер, дующий с северо-запада";"6";"";"";"Облаков нет.";" ";"";"";"8.3";"14.4";"";"";"";"";"";"16.0";"3.3";"";"";"";"";"";"";
"25.12.2014 16:00";"14.4";"761.6";"763.9";"";"44";"Ветер, дующий с северо-запада";"6";"";"";"Облаков нет.";" ";"";"";"8.3";"14.4";"";"";"";"";"";"16.0";"2.2";"";"";"";"";"";"";
"25.12.2014 10:00";"11.7";"763.4";"765.7";"";"52";"Ветер, дующий с северо-северо-запада";"7";"";"";"Облаков нет.";" ";"";"";"7.8";"11.7";"";"";"";"";"";"16.0";"2.2";"";"";"";"";"";"";
"25.12.2014 04:00";"10.0";"762.4";"764.6";"";"63";"Ветер, дующий с северо-северо-запада";"6";"";"";"20–30%.";" ";"";"";"8.3";"16.7";"";"";"2500 или более, или облаков нет.";"";"";"16.0";"3.3";"";"";"";"";"";"";
"24.12.2014 22:00";"10.6";"761.2";"763.5";"";"71";"Ветер, дующий с западо-северо-запада";"3";"";"";"Облаков нет.";" ";"";"";"10.0";"13.9";"";"";"";"";"";"16.0";"5.6";"";"";"";"";"";"";
"24.12.2014 16:00";"13.3";"759.1";"761.4";"";"77";"Ветер, дующий с западо-северо-запада";"11";"17";"";"50%.";" ";"";"";"11.1";"16.7";"";"";"600-1000";"";"";"16.0";"9.4";"1.0";"6";"";"";"";"";
"24.12.2014 10:00";"15.0";"762.4";"764.8";"";"83";"Ветер, дующий с западо-северо-запада";"6";"";"";"100%.";" ";"";"";"11.1";"15.0";"";"";"300-600";"";"";"16.0";"12.2";"";"";"";"";"";"";
"24.12.2014 04:00";"11.7";"761.9";"764.2";"";"100";"Ветер, дующий с западо-юго-запада";"2";"";"";"70 – 80%.";" ";"";"";"11.1";"20.0";"";"";"100-200";"";"";"16.0";"11.7";"";"";"";"";"";"";
"23.12.2014 22:00";"13.3";"762.9";"765.4";"";"90";"Ветер, дующий с запада";"2";"";"";"20–30%.";" ";"";"";"11.1";"19.4";"";"";"200-300";"";"";"16.0";"11.7";"";"";"";"";"";"";
"23.12.2014 16:00";"18.9";"762.9";"765.3";"";"63";"Ветер, дующий с западо-северо-запада";"2";"";"";"50%.";" ";"";"";"11.1";"20.0";"";"";"2500 или более, или облаков нет.";"";"";"16.0";"11.7";"";"";"";"";"";"";
"23.12.2014 10:00";"15.6";"765.4";"767.7";"";"90";"Штиль, безветрие";"0";"";"";"Облаков нет.";" ";"";"";"10.6";"16.1";"";"";"";"";"";"16.0";"13.9";"";"";"";"";"";"";
"23.12.2014 04:00";"11.7";"764.5";"766.7";"";"96";"Штиль, безветрие";"0";"";"";"Облаков нет.";" ";"";"";"11.1";"18.3";"";"";"";"";"";"16.0";"11.1";"";"";"";"";"";"";
"22.12.2014 22:00";"13.9";"764.7";"766.9";"";"93";"Штиль, безветрие";"0";"";"";"Облаков нет.";" ";"";"";"13.9";"17.8";"";"";"";"";"";"16.0";"12.8";"";"";"";"";"";"";
"22.12.2014 16:00";"17.2";"764.5";"766.6";"";"87";"Ветер, дующий с запада";"5";"";"";"20–30%.";" ";"";"";"12.2";"18.3";"";"";"300-600";"";"";"16.0";"15.0";"";"";"";"";"";"";
"22.12.2014 10:00";"12.2";"767.2";"769.4";"";"100";"Штиль, безветрие";"0";"";"";"Небо не видно из-за тумана и/или других метеорологических явлений.";"Туман или обрывки ледяного тумана. ";"";"";"12.2";"15.0";"";"";"50-100";"";"";"0.4";"12.2";"";"";"";"";"";"";
"22.12.2014 04:00";"13.9";"766.2";"768.6";"";"100";"Ветер, дующий с запада";"2";"";"";"20–30%.";" ";"";"";"13.9";"17.2";"";"";"100-200";"";"";"16.0";"13.9";"";"";"";"";"";"";
"21.12.2014 22:00";"15.0";"766.9";"769.3";"";"100";"Ветер, дующий с запада";"6";"";"";"100%.";" ";"";"";"15.0";"16.7";"";"";"200-300";"";"";"16.0";"15.0";"";"";"";"";"";"";
"21.12.2014 16:00";"16.7";"766.5";"768.7";"";"93";"Ветер, дующий с запада";"10";"13";"";"100%.";" ";"";"";"15.0";"17.2";"";"";"100-200";"";"";"16.0";"15.6";"Следы осадков";"6";"";"";"";"";
"21.12.2014 10:00";"16.1";"767.7";"770.1";"";"100";"Ветер, дующий с западо-северо-запада";"4";"";"";"100%.";"Дымка. ";"";"";"14.4";"16.1";"";"";"50-100";"";"";"9.0";"16.1";"0.3";"6";"";"";"";"";
"21.12.2014 04:00";"15.0";"766.2";"768.4";"";"100";"Штиль, безветрие";"0";"";"";"100%.";" ";"";"";"15.0";"16.7";"";"";"100-200";"";"";"16.0";"15.0";"0.3";"6";"";"";"";"";
"20.12.2014 22:00";"15.6";"765.7";"768.1";"";"86";"Ветер, дующий с юга";"2";"";"";"70 – 80%.";" ";"";"";"13.3";"16.7";"";"";"300-600";"";"";"16.0";"13.3";"";"";"";"";"";"";
"20.12.2014 16:00";"16.1";"764.9";"767.2";"";"75";"Ветер, дующий с юго-юго-запада";"2";"";"";"100%.";" ";"";"";"13.3";"16.7";"";"";"600-1000";"";"";"16.0";"11.7";"";"";"";"";"";"";
"20.12.2014 10:00";"14.4";"765.2";"767.5";"";"100";"Штиль, безветрие";"0";"";"";"100%.";"Дымка. ";"";"";"13.3";"14.4";"";"";"100-200";"";"";"6.0";"14.4";"Следы осадков";"6";"";"";"";"";
"20.12.2014 04:00";"13.9";"762.9";"765.3";"";"100";"Штиль, безветрие";"0";"";"";"100%.";" ";"";"";"13.3";"15.0";"";"";"100-200";"";"";"11.0";"13.9";"0.5";"6";"";"";"";"";
"19.12.2014 22:00";"14.4";"763.2";"765.6";"";"97";"Штиль, безветрие";"0";"";"";"100%.";" ";"";"";"13.3";"14.4";"";"";"200-300";"";"";"14.0";"13.9";"0.3";"6";"";"";"";"";
"19.12.2014 16:00";"13.9";"762.9";"765.2";"";"100";"Ветер, дующий с востоко-северо-востока";"2";"";"";"100%.";"Дождь незамерзающий непрерывный слабый в срок наблюдения. ";"";"";"13.3";"15.0";"";"";"100-200";"";"";"3.2";"13.9";"8.0";"6";"";"";"";"";
"19.12.2014 10:00";"13.9";"763.6";"766.0";"";"93";"Ветер, дующий с востоко-юго-востока";"5";"";"";"100%.";"Дождь незамерзающий непрерывный слабый в срок наблюдения. ";"";"";"12.8";"14.4";"";"";"200-300";"";"";"11.0";"12.8";"0.8";"6";"";"";"";"";
"19.12.2014 04:00";"13.3";"763.2";"765.4";"";"97";"Ветер, дующий с востоко-юго-востока";"3";"";"";"100%.";"Дождь незамерзающий непрерывный слабый в срок наблюдения. ";"";"";"13.3";"15.6";"";"";"300-600";"";"";"9.0";"12.8";"0.3";"6";"";"";"";"";
"18.12.2014 22:00";"13.9";"763.6";"766.1";"";"90";"Штиль, безветрие";"0";"";"";"70 – 80%.";" ";"";"";"11.1";"15.6";"";"";"1000-1500";"";"";"16.0";"12.2";"";"";"";"";"";"";
"18.12.2014 16:00";"15.0";"762.9";"765.3";"";"83";"Штиль, безветрие";"0";"";"";"70 – 80%.";" ";"";"";"11.1";"15.6";"";"";"600-1000";"";"";"16.0";"12.2";"";"";"";"";"";"";
"18.12.2014 10:00";"12.8";"763.9";"766.3";"";"87";"Штиль, безветрие";"0";"";"";"70 – 80%.";" ";"";"";"11.1";"12.8";"";"";"600-1000";"";"";"16.0";"10.6";"Следы осадков";"6";"";"";"";"";
"18.12.2014 04:00";"11.1";"761.4";"763.7";"";"97";"Ветер, дующий с юго-востока";"2";"";"";"100%.";" ";"";"";"11.1";"15.6";"";"";"300-600";"";"";"16.0";"10.6";"2.0";"6";"";"";"";"";
"17.12.2014 22:00";"11.7";"761.2";"763.5";"";"93";"Ветер, дующий с востоко-юго-востока";"7";"";"";"100%.";"Дождь незамерзающий непрерывный слабый в срок наблюдения. ";"";"";"10.0";"14.4";"";"";"200-300";"";"";"8.0";"10.6";"2.0";"6";"";"";"";"";
"17.12.2014 16:00";"14.4";"760.6";"762.9";"";"70";"Ветер, дующий с юга";"3";"";"";"100%.";"Дождь незамерзающий непрерывный слабый в срок наблюдения. ";"";"";"10.0";"15.6";"";"";"600-1000";"";"";"16.0";"8.9";"0.3";"6";"";"";"";"";
"17.12.2014 10:00";"13.3";"761.6";"763.9";"";"87";"Ветер, дующий с юго-востока";"3";"";"";"100%.";" ";"";"";"10.0";"13.3";"";"";"600-1000";"";"";"16.0";"11.1";"Следы осадков";"6";"";"";"";"";
"17.12.2014 04:00";"10.6";"758.8";"761.1";"";"100";"Штиль, безветрие";"0";"";"";"100%.";" ";"";"";"10.0";"17.2";"";"";"1000-1500";"";"";"16.0";"10.6";"1.0";"6";"";"";"";"";
"16.12.2014 22:00";"11.3";"757.6";"759.8";"";"77";"Ветер, дующий с юга";"3";"";"";"70 – 80%.";" ";"";"";"11.1";"13.9";"";"";"300-600";"";"";"16.0";"7.4";"15.0";"6";"";"";"";"";
"16.12.2014 16:00";"13.9";"755.1";"757.3";"";"87";"Ветер, дующий с юго-востока";"6";"";"";"100%.";"Дождь незамерзающий непрерывный слабый в срок наблюдения. ";"";"";"11.1";"17.2";"";"";"1000-1500";"";"";"12.0";"11.7";"3.0";"6";"";"";"";"";
"16.12.2014 10:00";"13.3";"758.1";"760.4";"";"90";"Ветер, дующий с юго-востока";"4";"";"";"50%.";" ";"";"";"10.0";"13.3";"";"";"300-600";"";"";"16.0";"11.7";"Следы осадков";"6";"";"";"";"";
